pur_cust,pur_prod,pur_date,pur_amount,pur_store_id
8,3,2015-04-14,47.08,15
2,9,2015-04-07,69.51,17
10,6,2015-04-09,67.03,3
1,12,2015-04-05,99.88,20
10,3,2015-04-05,68.72,10
4,10,2015-04-08,20.15,4
7,5,2015-04-01,84.78,10
3,12,2015-04-11,86.18,20
5,13,2015-04-01,32.52,16
6,14,2015-04-01,12.64,18
7,10,2015-04-05,40.45,16
10,1,2015-04-14,89.04,18
2,8,2015-04-12,3.43,14
8,4,2015-04-09,2.29,15
11,11,2015-04-01,46.92,2
5,12,2015-04-03,48.18,15
11,8,2015-04-02,63.07,6
6,9,2015-04-04,68.26,1
2,14,2015-04-11,42.47,15
3,1,2015-04-03,77.19,18
3,4,2015-04-07,76.81,13
2,11,2015-04-13,32.61,4
3,4,2015-04-03,2.13,15
8,6,2015-04-13,29.05,8
0,5,2015-04-05,29.29,9
4,2,2015-04-07,32.82,3
11,10,2015-04-05,25.11,8
2,5,2015-04-12,94.39,10
0,5,2015-04-04,79.22,7
6,6,2015-04-06,64.53,18
4,14,2015-04-05,56.84,4
8,14,2015-04-06,6.66,6
6,7,2015-04-01,19.78,6
1,14,2015-04-07,83.28,12
5,12,2015-04-02,3.11,8
4,9,2015-04-13,58.79,9
7,6,2015-04-12,51.28,18
0,13,2015-04-11,65.80,16
5,2,2015-04-06,54.22,16
9,7,2015-04-13,5.15,6
10,1,2015-04-13,13.61,13
3,3,2015-04-13,91.37,18
2,3,2015-04-05,74.62,18
6,10,2015-04-05,32.63,3
6,13,2015-04-05,87.94,12
2,8,2015-04-11,57.92,19
0,6,2015-04-14,82.42,2
0,10,2015-04-08,16.79,7
5,9,2015-04-03,23.70,7
8,11,2015-04-02,7.70,15
7,1,2015-04-06,59.88,17
2,2,2015-04-12,53.27,3
0,8,2015-04-02,59.73,20
3,12,2015-04-13,11.18,10
2,9,2015-04-05,37.19,4
9,0,2015-04-03,89.74,10
11,4,2015-04-06,8.25,20
6,7,2015-04-02,1.15,16
3,6,2015-04-09,64.65,18
11,14,2015-04-14,21.40,16
10,13,2015-04-03,44.12,18
7,0,2015-04-13,37.23,14
6,11,2015-04-13,36.86,15
4,13,2015-04-11,67.72,2
6,10,2015-04-04,80.87,15
8,1,2015-04-08,93.79,6
3,9,2015-04-10,58.38,1
11,3,2015-04-11,67.09,15
5,4,2015-04-14,21.69,18
0,7,2015-04-09,45.56,13
0,0,2015-04-14,8.75,4
2,14,2015-04-14,48.60,15
2,6,2015-04-05,100.03,8
11,13,2015-04-07,14.23,9
11,6,2015-04-10,17.96,3
11,3,2015-04-08,44.95,8
10,14,2015-04-09,1.69,10
10,2,2015-04-11,77.26,7
1,2,2015-04-08,100.99,18
6,9,2015-04-06,19.44,4
0,10,2015-04-08,26.94,6
9,5,2015-04-12,3.32,6
5,6,2015-04-05,94.28,12
8,12,2015-04-13,7.62,8
11,6,2015-04-07,14.60,9
2,6,2015-04-04,30.39,18
3,8,2015-04-02,79.40,16
3,14,2015-04-01,11.79,16
6,6,2015-04-07,51.94,6
10,9,2015-04-03,100.62,13
7,14,2015-04-14,44.49,18
11,8,2015-04-03,47.20,18
10,12,2015-04-04,24.67,3
10,10,2015-04-01,79.46,12
11,4,2015-04-04,93.93,19
3,12,2015-04-13,19.51,2
6,2,2015-04-13,22.63,7
8,11,2015-04-05,22.36,7
11,5,2015-04-04,75.34,15
5,14,2015-04-07,69.32,17
10,4,2015-04-03,14.87,3
3,1,2015-04-04,22.74,20
11,14,2015-04-14,33.29,10
5,7,2015-04-02,15.59,4
11,7,2015-04-08,89.68,10
0,7,2015-04-09,36.91,20
8,5,2015-04-02,35.73,16
0,0,2015-04-14,3.68,18
1,6,2015-04-02,8.06,16
8,6,2015-04-03,4.68,18
7,0,2015-04-09,90.65,14
2,6,2015-04-06,52.86,15
10,11,2015-04-10,27.42,2
4,14,2015-04-05,62.58,15
0,2,2015-04-02,83.24,6
5,0,2015-04-05,21.31,1
0,8,2015-04-04,6.79,15
0,14,2015-04-05,43.21,18
1,7,2015-04-13,10.99,13
1,3,2015-04-04,7.90,4
1,6,2015-04-04,59.26,15
7,2,2015-04-12,25.68,8
9,0,2015-04-02,48.30,9
7,9,2015-04-08,25.18,3
10,10,2015-04-04,64.06,8
11,13,2015-04-05,72.66,10
6,5,2015-04-09,72.32,7
5,2,2015-04-09,58.92,18
7,8,2015-04-02,89.59,4
7,8,2015-04-01,97.00,6
11,0,2015-04-10,54.59,6
7,9,2015-04-12,7.56,12
9,9,2015-04-03,10.22,8
1,3,2015-04-03,30.44,9
1,9,2015-04-02,52.51,18
10,0,2015-04-09,83.74,16
11,7,2015-04-07,9.22,16
10,0,2015-04-05,18.19,6
10,12,2015-04-07,31.45,13
10,4,2015-04-02,51.76,18
11,2,2015-04-01,46.94,18
4,4,2015-04-08,46.15,3
10,13,2015-04-13,67.01,12
0,2,2015-04-05,85.15,19
2,10,2015-04-06,16.37,2
10,13,2015-04-03,56.81,7
3,8,2015-04-12,100.50,7
6,10,2015-04-03,8.30,15
10,3,2015-04-09,46.33,17
0,9,2015-04-10,56.53,3
10,8,2015-04-10,75.43,20
10,0,2015-04-05,34.22,10
6,12,2015-04-09,66.89,4
0,1,2015-04-08,8.62,10
11,7,2015-04-05,77.00,20
10,14,2015-04-11,53.06,16
9,2,2015-04-04,1.38,18
10,4,2015-04-14,14.27,16
7,8,2015-04-12,20.40,18
4,4,2015-04-10,82.11,14
0,11,2015-04-04,51.69,15
2,9,2015-04-09,18.11,2
7,10,2015-04-07,63.95,15
6,10,2015-04-14,8.41,6
2,13,2015-04-03,43.14,1
7,13,2015-04-05,53.74,15
8,12,2015-04-14,79.40,18
9,8,2015-04-09,20.58,13
10,12,2015-04-05,67.98,4
4,14,2015-04-07,88.60,15
9,2,2015-04-07,22.21,8
5,8,2015-04-08,79.19,9
5,11,2015-04-05,100.76,3
11,12,2015-04-11,85.79,8
5,9,2015-04-04,4.92,10
10,3,2015-04-08,76.53,7
4,6,2015-04-14,90.38,18
4,5,2015-04-08,40.45,4
6,6,2015-04-05,92.77,6
7,6,2015-04-11,82.81,6
5,10,2015-04-10,28.80,12
6,12,2015-04-07,9.59,8
10,3,2015-04-07,94.66,9
0,8,2015-04-06,31.31,18
8,10,2015-04-11,10.92,16
9,12,2015-04-06,48.18,16
7,10,2015-04-07,80.30,6
3,13,2015-04-05,79.13,13
10,12,2015-04-05,75.13,18
9,9,2015-04-04,99.32,18
7,2,2015-04-01,19.81,3
1,2,2015-04-11,88.28,12
7,5,2015-04-14,14.35,19
6,3,2015-04-07,12.01,2
10,0,2015-04-06,96.17,7
10,9,2015-04-08,52.27,7
1,0,2015-04-04,79.28,15
7,10,2015-04-06,98.72,17
0,5,2015-04-03,78.22,3
5,1,2015-04-01,71.37,20
6,8,2015-04-10,84.92,10
2,9,2015-04-07,86.70,4
7,6,2015-04-11,98.90,10
2,14,2015-04-11,38.87,20
1,8,2015-04-08,60.46,16
6,1,2015-04-05,28.87,18
3,7,2015-04-03,42.31,16
8,2,2015-04-04,14.60,18
6,3,2015-04-06,20.96,14
3,10,2015-04-05,45.34,15
1,2,2015-04-08,91.29,2
1,11,2015-04-06,80.00,15
0,14,2015-04-07,85.93,6
7,9,2015-04-11,32.26,1
10,4,2015-04-03,42.31,15
6,5,2015-04-10,38.59,18
11,11,2015-04-01,48.85,13
5,0,2015-04-04,68.19,4
0,4,2015-04-10,71.82,15
6,10,2015-04-01,50.17,8
7,11,2015-04-02,29.55,9
7,6,2015-04-10,10.16,3
6,9,2015-04-08,28.84,8
0,8,2015-04-07,8.88,10
8,7,2015-04-12,48.98,7
10,11,2015-04-10,20.09,18
0,11,2015-04-06,64.12,4
5,2,2015-04-04,4.65,6
